row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_climate_pa_pushed_cells,bd_climate_pa_total_cells,bd_climate_pa_push_ratio,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
10,1348,87349,true,60,42,41.533,0.014,0.001,refresh_climate_daily,sea_ice,cursor_4,data_core,28.125,48.564,62.273,0,,,,,,,,,,,,,,,,,,,0.196,0.639,0.611,28.092,0,0.09,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.376,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.353,0.028,3.041,0.27,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,4.746,0.7,3.726,0.292,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.481,3.361,3.826,0.271,2400,0,1,0,0,0,0.026,0.016,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
11,1349,87368,true,60,2,2.318,0.008,0.001,season_refresh,stage_7_glacier,cursor_0,stage,1.913,48.564,62.273,0,,,,,,,,,,,,,,,,,,,0.196,0.639,0.611,28.092,0,0.09,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.376,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.353,0.028,3.041,0.27,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,4.746,0.7,3.726,0.292,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.481,3.361,3.826,0.271,2400,0,1,0,0,0,0.026,0.016,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
12,1350,87457,false,60,52,50.064,1.054,0.22,refresh_climate_daily,sea_ice,cursor_4,data_core,30.05,48.882,62.273,0,2.774,1,,0,0,policy_gated,3.262,1,,33.054,6,,1.946,3,,8.182,1,,0.327,0.949,1.237,30.011,0,0.117,33,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.091,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.788,0.029,3.4,0.345,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.232,0.77,2.441,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
13,1351,87468,true,60,4,3.94,0.009,0,season_refresh,stage_9_sync,cursor_0,stage,3.505,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.327,0.949,1.237,30.011,0,0.117,33,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.091,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.788,0.029,3.4,0.345,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.232,0.77,2.441,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
14,1352,87560,true,60,51,50.755,0.015,0,refresh_climate_daily,sea_ice,cursor_4,data_core,28.758,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.19,0.763,0.711,28.721,0,0.101,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.38,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.788,0.029,3.4,0.345,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.002,0.77,3.913,0.283,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.462,3.302,3.858,0.282,2400,0,1,0,0,0,0.026,0.017,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
15,1353,87568,true,60,1,0.501,0.006,0,season_refresh,stage_11_feedback,cursor_0,stage,0.109,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.19,0.763,0.711,28.721,0,0.101,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.38,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.788,0.029,3.4,0.345,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.002,0.77,3.913,0.283,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.462,3.302,3.858,0.282,2400,0,1,0,0,0,0.026,0.017,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
16,1354,87648,true,60,40,39.648,0.017,0,refresh_climate_daily,sea_ice,cursor_4,data_core,28.969,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.151,0.781,0.753,28.934,0,0.09,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.001,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.571,0.034,3.195,0.326,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.334,0.763,2.55,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
17,1355,87665,true,60,0,0.429,0.007,0,,,,,0,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.151,0.781,0.753,28.934,0,0.09,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.001,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.571,0.034,3.195,0.326,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.334,0.763,2.55,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
18,1356,87755,true,60,46,45.899,0.014,0,refresh_climate_daily,sea_ice,cursor_4,data_core,29.127,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.205,0.785,0.727,29.092,0,0.09,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.418,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.571,0.034,3.195,0.326,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.077,0.763,3.971,0.306,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.528,3.353,3.889,0.261,2400,0,1,0,0,0,0.024,0.015,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
19,1357,87768,true,60,0,0.355,0.005,0,,,,,0,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.205,0.785,0.727,29.092,0,0.09,31,2400,false,done,1,1,1,full,0,0,1,0.4177,0.1224,0.263,0.0323,0,0.1224,0.1224,0.263,0.004,0.003,0.001,0,0,0,0,0,0,0,0,0,1.86,12,false,false,false,0,0,0,0.446,0.024,0,0.003,0.008,0.509,0.028,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.418,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.571,0.034,3.195,0.326,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.077,0.763,3.971,0.306,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.528,3.353,3.889,0.261,2400,0,1,0,0,0,0.024,0.015,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
20,1358,87857,false,60,42,40.815,1.073,0.2,refresh_climate_daily,sea_ice,cursor_4,data_core,28.369,48.882,62.273,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,30.436,6,,2.203,3,,7.724,1,,0.191,0.815,0.764,28.335,0,0.09,30,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.631,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.422,0.031,3.094,0.282,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.116,0.747,2.351,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
21,1359,87865,true,60,0,0.363,0.005,0,,,,,0,48.882,62.273,0,,,,,,,,,,,,,,,,,,,0.191,0.815,0.764,28.335,0,0.09,30,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,biome,cached_full_update,8.898,664,152661,7.571,0.006,1.285,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.631,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.422,0.031,3.094,0.282,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.116,0.747,2.351,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
22,1360,87984,true,60,69,69.348,0.024,0,refresh_climate_daily,sea_ice,cursor_4,data_core,45.37,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.345,1.124,1.077,45.323,0,0.104,48,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,cover,skipped_no_dirty,2.008,0,0,1.932,0,0,true,false,false,true,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,18.11,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.422,0.031,3.094,0.282,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.72,0.747,4.439,0.495,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,15.297,6.847,7.94,0.474,2400,0,1,0,0,0,0.033,0.022,0,0.007,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
23,1361,87997,true,60,0,0.415,0.006,0.001,,,,,0,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.345,1.124,1.077,45.323,0,0.104,48,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,cover,skipped_no_dirty,2.008,0,0,1.932,0,0,true,false,false,true,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,18.11,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.422,0.031,3.094,0.282,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.72,0.747,4.439,0.495,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,15.297,6.847,7.94,0.474,2400,0,1,0,0,0,0.033,0.022,0,0.007,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
24,1362,88072,true,58,40,40.12,0.015,0,refresh_climate_daily,sea_ice,cursor_4,data_core,27.849,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.185,0.671,0.596,27.815,0,0.093,29,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.481,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.313,0.029,2.966,0.304,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.123,0.711,2.395,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
25,1363,88082,true,58,0,0.377,0.005,0,,,,,0,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.185,0.671,0.596,27.815,0,0.093,29,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.481,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.313,0.029,2.966,0.304,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.123,0.711,2.395,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
26,1364,88164,true,58,49,49.411,0.018,0,refresh_climate_daily,sea_ice,cursor_4,data_core,29.288,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.193,0.758,0.88,29.25,0,0.089,31,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,17.218,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.313,0.029,2.966,0.304,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.776,0.711,4.521,0.51,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,14.277,5.871,7.79,0.579,2400,0,1,0,0,0,0.042,0.027,0,0.008,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
27,1365,88173,true,58,0,0.386,0.006,0.001,,,,,0,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.193,0.758,0.88,29.25,0,0.089,31,2400,false,done,1,1,1,full,0,0,1,0.3678,0.115,0.221,0.0318,0,0.115,0.115,0.221,0.002,0.001,0.001,0,0,0,0,0,0.0228,0,0,0,2.134,12,false,true,false,0,0,0,0.704,0.473,0,0.004,0.008,1.212,0.023,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,17.218,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.313,0.029,2.966,0.304,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.776,0.711,4.521,0.51,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,14.277,5.871,7.79,0.579,2400,0,1,0,0,0,0.042,0.027,0,0.008,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
28,1366,88260,false,58,45,43.426,1.079,0.195,refresh_climate_daily,sea_ice,cursor_4,data_core,30.094,48.894,66.63,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,32.055,6,,1.481,3,,9.448,1,,0.19,0.76,0.716,30.058,0,0.093,32,2400,false,done,1,1,1,full,0,0,1,0.4131,0.1591,0.226,0.028,0,0.1591,0.1591,0.226,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.409,12,false,false,false,0,0,0,0.378,0.019,0,0.003,0.008,0.428,0.02,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,9.361,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.935,0.052,4.604,0.261,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.166,0.793,2.35,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
29,1367,88270,true,58,0,0.376,0.005,0,,,,,0,48.894,66.63,0,,,,,,,,,,,,,,,,,,,0.19,0.76,0.716,30.058,0,0.093,32,2400,false,done,1,1,1,full,0,0,1,0.4131,0.1591,0.226,0.028,0,0.1591,0.1591,0.226,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0,1.409,12,false,false,false,0,0,0,0.378,0.019,0,0.003,0.008,0.428,0.02,vegetation,cached_full_update,2.51,24,5630,1.307,0.005,1.15,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,9.361,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.935,0.052,4.604,0.261,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.166,0.793,2.35,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
