row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason
0,93,26513,true,32,0,0.264,0.005,0,,,,,0,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.294,1.028,0.836,4.62,0,0.05,7,2400,false,done,1,1,1,full,0.4282,0.1504,0.252,0.0258,0,0.1504,0.1504,0.252,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.195,12,false,false,false,0,0,0,0.422,0.022,0,0.004,0.008,0.483,0.027,cover,skipped_no_dirty,1.68,0,0,1.644,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
1,94,26594,true,32,31,31.277,0.013,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,23.587,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.265,1.032,0.853,4.532,0,0.05,7,2400,false,done,1,1,1,full,0.4282,0.1504,0.252,0.0258,0,0.1504,0.1504,0.252,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.195,12,false,false,false,0,0,0,0.422,0.022,0,0.004,0.008,0.483,0.027,cover,skipped_no_dirty,1.68,0,0,1.644,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
2,95,26608,true,32,0,0.26,0.005,0,,,,,0,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.265,1.032,0.853,4.532,0,0.05,7,2400,false,done,1,1,1,full,0.4282,0.1504,0.252,0.0258,0,0.1504,0.1504,0.252,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.195,12,false,false,false,0,0,0,0.422,0.022,0,0.004,0.008,0.483,0.027,cover,skipped_no_dirty,1.68,0,0,1.644,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
3,96,26806,false,32,143,141.619,1.32,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,130.626,160.155,393.358,0,0,0,policy_gated,0,0,policy_gated,3.488,1,,5.837,6,,1.264,3,,130.645,1,,0.232,0.688,0.753,3.912,0,0.049,5,2400,false,done,1,1,1,full,0.4405,0.1432,0.27,0.0273,0,0.1432,0.1432,0.27,0.004,0.002,0,0.001,0,0,0,0,0,0,0,0,1.193,12,false,false,false,0,0,0,0.425,0.02,0,0.002,0.007,0.479,0.025,cover,skipped_no_dirty,1.68,0,0,1.644,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
4,97,26809,true,32,0,0.225,0.004,0.001,,,,,0,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.232,0.688,0.753,3.912,0,0.049,5,2400,false,done,1,1,1,full,0.4405,0.1432,0.27,0.0273,0,0.1432,0.1432,0.27,0.004,0.002,0,0.001,0,0,0,0,0,0,0,0,1.193,12,false,false,false,0,0,0,0.425,0.02,0,0.002,0.007,0.479,0.025,cover,skipped_no_dirty,1.68,0,0,1.644,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
5,98,27009,true,32,146,146.453,0.014,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,136.952,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.237,0.705,0.795,4.256,0,0.048,6,2400,false,done,1,1,1,full,0.4405,0.1432,0.27,0.0273,0,0.1432,0.1432,0.27,0.004,0.002,0,0.001,0,0,0,0,0,0,0,0,1.193,12,false,false,false,0,0,0,0.425,0.02,0,0.002,0.007,0.479,0.025,cover,skipped_no_dirty,1.725,0,0,1.685,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
6,99,27013,true,32,0,0.232,0.004,0,,,,,0,160.155,393.358,0,,,,,,,,,,,,,,,,,,,0.237,0.705,0.795,4.256,0,0.048,6,2400,false,done,1,1,1,full,0.4405,0.1432,0.27,0.0273,0,0.1432,0.1432,0.27,0.004,0.002,0,0.001,0,0,0,0,0,0,0,0,1.193,12,false,false,false,0,0,0,0.425,0.02,0,0.002,0.007,0.479,0.025,cover,skipped_no_dirty,1.725,0,0,1.685,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
7,100,27096,false,36,33,30.926,1.339,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,23.001,151.512,393.358,0,0,0,policy_gated,0,0,policy_gated,0.17,1,,6.173,6,,1.226,3,,23.013,1,,0.187,0.989,0.779,3.975,0,0.046,6,2400,false,done,1,1,1,full,0.4079,0.1425,0.241,0.0244,0,0.1425,0.1425,0.241,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.147,12,false,false,false,0,0,0,0.396,0.023,0,0.002,0.007,0.459,0.031,cover,skipped_no_dirty,1.725,0,0,1.685,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
8,101,27107,true,36,0,0.284,0.005,0.001,,,,,0,151.512,393.358,0,,,,,,,,,,,,,,,,,,,0.187,0.989,0.779,3.975,0,0.046,6,2400,false,done,1,1,1,full,0.4079,0.1425,0.241,0.0244,0,0.1425,0.1425,0.241,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.147,12,false,false,false,0,0,0,0.396,0.023,0,0.002,0.007,0.459,0.031,cover,skipped_no_dirty,1.725,0,0,1.685,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
9,102,27319,true,36,156,155.705,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,139.953,153.493,393.358,0,,,,,,,,,,,,,,,,,,,0.2,0.905,0.846,4.537,0,0.05,7,2400,false,done,1,1,1,full,0.4079,0.1425,0.241,0.0244,0,0.1425,0.1425,0.241,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.147,12,false,false,false,0,0,0,0.396,0.023,0,0.002,0.007,0.459,0.031,cover,skipped_no_dirty,1.792,0,0,1.751,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
