row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_climate_pa_pushed_cells,bd_climate_pa_total_cells,bd_climate_pa_push_ratio,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
0,182,21826,true,60,23,23.022,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,14.7,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.178,0.656,0.595,3.638,0,0.081,6,2400,false,done,1,1,1,full,0,0,1,0.3896,0.168,0.195,0.0266,0,0.168,0.168,0.195,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.367,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.01,0.406,0.023,cover,skipped_no_dirty,1.312,0,0,1.256,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,14.596,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,6.664,0.04,5.965,0.576,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,10.855,1.133,8.903,0.683,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,11.451,3.554,7.363,0.433,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.022,0.014,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
1,183,21853,true,60,1,0.369,0.008,0.001,,,,,0,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.178,0.656,0.595,3.638,0,0.081,6,2400,false,done,1,1,1,full,0,0,1,0.3896,0.168,0.195,0.0266,0,0.168,0.168,0.195,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.367,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.01,0.406,0.023,cover,skipped_no_dirty,1.312,0,0,1.256,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,14.596,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,6.664,0.04,5.965,0.576,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,10.855,1.133,8.903,0.683,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,11.451,3.554,7.363,0.433,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.022,0.014,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
2,184,21940,false,60,21,20.115,0.997,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,11.774,26.418,217.587,0,0,0,policy_gated,0,0,policy_gated,1.03,1,,5.567,6,,1.338,3,,11.788,1,,0.21,0.83,0.741,3.482,0,0.074,5,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.312,0,0,1.256,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,11.693,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.239,0.031,4.739,0.401,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,5.345,0.768,4.524,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
3,185,21953,true,60,1,0.326,0.006,0,,,,,0,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.21,0.83,0.741,3.482,0,0.074,5,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.312,0,0,1.256,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,11.693,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.239,0.031,4.739,0.401,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,5.345,0.768,4.524,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
4,186,22022,true,60,20,20.053,0.016,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,13.286,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.151,0.625,0.62,3.379,0,0.054,5,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.177,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.239,0.031,4.739,0.401,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,8.023,0.768,6.59,0.573,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,10.344,3.392,6.563,0.305,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.022,0.013,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
5,187,22053,true,59,1,0.334,0.006,0,,,,,0,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.151,0.625,0.62,3.379,0,0.054,5,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.177,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.239,0.031,4.739,0.401,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,8.023,0.768,6.59,0.573,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,10.344,3.392,6.563,0.305,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.022,0.013,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
6,188,22125,true,59,23,23.32,0.016,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,12.081,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.196,0.806,0.748,3.491,0,0.064,6,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,12.001,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.35,0.03,4.818,0.446,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,5.574,0.802,4.712,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
7,189,22169,true,59,0,0.373,0.006,0,,,,,0,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.196,0.806,0.748,3.491,0,0.064,6,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,12.001,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.35,0.03,4.818,0.446,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,5.574,0.802,4.712,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
8,190,22223,true,59,21,21.094,0.017,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,13.204,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.191,0.732,0.793,5.455,0,0.093,8,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.11,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.35,0.03,4.818,0.446,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,8.012,0.802,6.705,0.419,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,10.524,3.48,6.669,0.298,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.024,0.015,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
9,191,22253,true,59,1,0.319,0.005,0.001,,,,,0,26.418,217.587,0,,,,,,,,,,,,,,,,,,,0.191,0.732,0.793,5.455,0,0.093,8,2400,false,done,1,1,1,full,0,0,1,0.3459,0.1154,0.205,0.0255,0,0.1154,0.1154,0.205,0.002,0.001,0,0.001,0,0,0,0,0.0215,0,0,0,1.266,12,false,true,false,0,0,0,0.329,0.093,0,0.003,0.01,0.457,0.022,cover,skipped_no_dirty,1.187,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.11,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,5.35,0.03,4.818,0.446,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,8.012,0.802,6.705,0.419,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,10.524,3.48,6.669,0.298,2400,2400,0,5,0,0,dirty_decay_one_hop,cpp,,0,0.024,0.015,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
