row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
10,72,21864,true,54,1,0.431,0.006,0,season_refresh,rain_shadow,cursor_0,micro,0.158,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.232,1.061,0.805,4.66,0,0.05,7,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.318,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.316,0.145,38.58,0.564,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.893,0.156,39.116,0.594,2400,0,19,0,0,2400,22.592,0.16,22.236,0.175,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
11,73,21986,true,54,73,73.184,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,57.961,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.242,0.662,0.796,4.501,0,0.045,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,57.879,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.394,0.138,26.236,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
12,74,21991,true,54,1,1.751,0.005,0,season_refresh,stage_3_river,cursor_0,micro,1.545,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.242,0.662,0.796,4.501,0,0.045,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,57.879,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.394,0.138,26.236,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
13,75,22095,true,54,82,81.882,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,60.974,76.209,299.437,0,,,,,,,,,,,,,,,,,,,0.232,0.673,0.775,4.092,0,0.046,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,60.881,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.403,0.138,37.633,0.6,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.47,0.155,38.64,0.654,2400,0,19,0,0,992,9.238,0.166,9.064,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
14,76,22100,true,51,2,2.374,0.005,0.001,season_refresh,stage_5_shrubland,cursor_0,stage,2.129,76.209,299.437,0,,,,,,,,,,,,,,,,,,,0.232,0.673,0.775,4.092,0,0.046,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,60.881,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.403,0.138,37.633,0.6,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.47,0.155,38.64,0.654,2400,0,19,0,0,992,9.238,0.166,9.064,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
15,77,22124,true,51,21,21.227,0.012,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,13.144,76.209,299.437,0,,,,,,,,,,,,,,,,,,,0.226,0.678,0.766,4.025,0,0.044,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.052,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.403,0.138,37.633,0.6,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.47,0.155,38.64,0.654,2400,0,19,0,0,2400,22.239,0.166,21.951,0.106,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
16,78,22149,true,51,3,2.675,0.007,0.001,season_refresh,stage_7_glacier,cursor_0,stage,2.39,76.209,299.437,0,,,,,,,,,,,,,,,,,,,0.226,0.678,0.766,4.025,0,0.044,6,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.052,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.236,0.059,30.632,0.522,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.403,0.138,37.633,0.6,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.47,0.155,38.64,0.654,2400,0,19,0,0,2400,22.239,0.166,21.951,0.106,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
17,79,22283,false,51,70,67.874,1.45,0.226,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,58.044,76.209,299.437,0,2.255,1,,0,0,policy_gated,0,0,policy_gated,5.994,6,,1.227,3,,58.061,1,,0.231,0.775,0.764,3.978,0,0.046,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,57.962,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.261,0.148,26.093,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
18,80,22294,true,51,5,4.783,0.005,0,season_refresh,stage_9_sync,cursor_0,stage,4.527,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.231,0.775,0.764,3.978,0,0.046,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,cover,skipped_no_dirty,1.285,0,0,1.249,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,57.962,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.261,0.148,26.093,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
19,81,22395,true,51,82,81.673,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,59.907,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.248,0.76,0.807,4.168,0,0.045,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,59.823,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,2400,37.867,0.148,37.087,0.603,2400,2400,0,20,0,0,all_cells,cpp,,2400,38.94,0.176,38.237,0.508,2400,0,19,0,0,992,9.158,0.148,9.002,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
20,82,22399,true,51,1,0.343,0.005,0,season_refresh,stage_11_feedback,cursor_0,stage,0.119,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.248,0.76,0.807,4.168,0,0.045,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,59.823,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,2400,37.867,0.148,37.087,0.603,2400,2400,0,20,0,0,all_cells,cpp,,2400,38.94,0.176,38.237,0.508,2400,0,19,0,0,992,9.158,0.148,9.002,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
21,83,22424,true,51,20,20.155,0.015,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,13.317,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.201,0.905,0.782,4.427,0,0.053,7,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.222,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,2400,37.867,0.148,37.087,0.603,2400,2400,0,20,0,0,all_cells,cpp,,2400,38.94,0.176,38.237,0.508,2400,0,19,0,0,2400,22.32,0.148,21.911,0.244,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
22,84,22464,true,51,1,0.263,0.006,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.201,0.905,0.782,4.427,0,0.053,7,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.222,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.432,0.058,30.74,0.61,2400,2400,0,19,0,0,all_cells,cpp,,2400,37.867,0.148,37.087,0.603,2400,2400,0,20,0,0,all_cells,cpp,,2400,38.94,0.176,38.237,0.508,2400,0,19,0,0,2400,22.32,0.148,21.911,0.244,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
23,85,22579,true,51,66,65.297,0.016,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,58.539,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.231,1.02,0.794,4.128,0,0.05,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,58.45,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.589,0.163,26.407,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
24,86,22582,true,51,0,0.241,0.005,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.231,1.02,0.794,4.128,0,0.05,6,2400,false,done,1,1,1,full,0.3845,0.1405,0.22,0.024,0,0.1405,0.1405,0.22,0.003,0.001,0.001,0.001,0,0,0,0,0.0255,0,0,0,1.154,12,false,true,false,0,0,0,0.333,0.097,0,0.003,0.007,0.467,0.027,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,58.45,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.589,0.163,26.407,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
25,87,22685,false,51,72,69.999,1.43,0.226,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,60.816,75.634,299.437,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,7.341,6,,1.5,3,,60.833,1,,0.241,1.044,0.805,4.987,0,0.048,7,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,60.73,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.488,0.163,37.746,0.55,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.484,0.155,38.758,0.543,2400,0,19,0,0,992,9.191,0.162,9.018,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
26,88,22692,true,51,0,0.256,0.005,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.241,1.044,0.805,4.987,0,0.048,7,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,biome,cached_full_update,15.068,900,206371,13.581,0.004,1.441,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,60.73,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.488,0.163,37.746,0.55,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.484,0.155,38.758,0.543,2400,0,19,0,0,992,9.191,0.162,9.018,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
27,89,22735,true,51,21,21.506,0.011,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,12.888,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.231,0.741,0.772,4.152,0,0.047,6,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,cover,skipped_no_dirty,1.765,0,0,1.725,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,12.807,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.488,0.163,37.746,0.55,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.484,0.155,38.758,0.543,2400,0,19,0,0,2400,21.959,0.162,21.672,0.106,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
28,90,22764,true,51,0,0.521,0.005,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.231,0.741,0.772,4.152,0,0.047,6,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,cover,skipped_no_dirty,1.765,0,0,1.725,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,12.807,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,31.591,0.058,31.003,0.508,2400,2400,0,19,0,0,all_cells,cpp,,2400,38.488,0.163,37.746,0.55,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.484,0.155,38.758,0.543,2400,0,19,0,0,2400,21.959,0.162,21.672,0.106,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
29,91,22882,true,51,68,68.309,0.017,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,58.561,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.214,0.693,0.702,3.987,0,0.047,6,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,cover,skipped_no_dirty,1.765,0,0,1.725,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,58.477,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.391,0.058,30.785,0.523,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.836,0.131,26.689,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
30,92,22885,true,51,0,0.206,0.004,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.214,0.693,0.702,3.987,0,0.047,6,2400,false,done,1,1,1,full,0.4682,0.2194,0.221,0.0278,0,0.2194,0.2194,0.221,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.433,12,false,false,false,0,0,0,0.598,0.028,0,0.003,0.007,0.658,0.022,cover,skipped_no_dirty,1.765,0,0,1.725,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,58.477,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,31.391,0.058,30.785,0.523,2400,2400,0,19,0,0,all_cells,cpp,,1696,26.836,0.131,26.689,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
