row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
0,606,83786,true,60,5,5.547,0.013,0,season_refresh,stage_2_redecide,cursor_0,micro,5.121,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.276,1.019,1.253,5.47,0,0.069,8,2400,false,done,1,1,1,full,0.3445,0.1136,0.205,0.0259,0,0.1136,0.1136,0.205,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.052,12,false,false,false,0,0,0,0.323,0.016,0,0.002,0.01,0.369,0.018,cover,skipped_no_dirty,1.199,0,0,1.153,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,43.334,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,20.212,0.048,19.568,0.506,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,21.381,1.174,20.097,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1,607,83858,true,60,45,44.641,0.014,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,36.055,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.199,0.903,0.84,4.294,0,0.087,7,2400,false,done,1,1,1,full,0.3445,0.1136,0.205,0.0259,0,0.1136,0.1136,0.205,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.052,12,false,false,false,0,0,0,0.323,0.016,0,0.002,0.01,0.369,0.018,cover,skipped_no_dirty,1.199,0,0,1.153,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.965,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,20.212,0.048,19.568,0.506,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,28.721,1.174,27.008,0.404,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.472,3.608,24.397,0.351,2400,0,5,0,0,0,0.021,0.014,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
2,608,83877,true,60,12,12.485,0.013,0,season_refresh,stage_4_veg_feedback,cursor_0,micro,12.072,49.237,56.034,0,,,,,,,,,,,,,,,,,,,0.199,0.903,0.84,4.294,0,0.087,7,2400,false,done,1,1,1,full,0.3445,0.1136,0.205,0.0259,0,0.1136,0.1136,0.205,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.052,12,false,false,false,0,0,0,0.323,0.016,0,0.002,0.01,0.369,0.018,cover,skipped_no_dirty,1.199,0,0,1.153,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.965,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,20.212,0.048,19.568,0.506,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,28.721,1.174,27.008,0.404,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,28.472,3.608,24.397,0.351,2400,0,5,0,0,0,0.021,0.014,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
3,609,83969,false,60,55,53.544,0.991,0.177,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,38.426,49.266,56.034,0,1.507,1,,0,0,policy_gated,6.148,1,,5.725,6,,1.272,3,,38.44,1,,0.2,0.902,0.743,3.562,0,0.06,6,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,cover,skipped_no_dirty,1.199,0,0,1.153,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,38.353,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.523,0.033,19.136,0.26,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.756,0.776,16.914,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4,610,83980,true,60,2,1.932,0.007,0,season_refresh,stage_6_mangrove,cursor_0,stage,1.537,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.2,0.902,0.743,3.562,0,0.06,6,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,cover,skipped_no_dirty,1.199,0,0,1.153,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,38.353,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.523,0.033,19.136,0.26,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.756,0.776,16.914,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5,611,84057,true,60,43,43.793,0.016,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,34.99,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.189,0.634,0.644,3.795,0,0.085,6,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,cover,skipped_no_dirty,0.933,0,0,0.893,0,0,true,false,false,true,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,34.887,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.523,0.033,19.136,0.26,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.557,0.776,24.234,0.453,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,26.923,3.24,23.31,0.305,2400,0,5,0,0,0,0.022,0.014,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
6,612,84068,true,60,3,2.209,0.009,0,season_refresh,stage_8_swamp,cursor_0,stage,1.806,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.189,0.634,0.644,3.795,0,0.085,6,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,cover,skipped_no_dirty,0.933,0,0,0.893,0,0,true,false,false,true,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,34.887,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,19.523,0.033,19.136,0.26,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.557,0.776,24.234,0.453,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,26.923,3.24,23.31,0.305,2400,0,5,0,0,0,0.022,0.014,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
7,613,84166,true,60,53,52.617,0.015,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,36.516,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.187,0.772,0.657,3.313,0,0.062,5,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,vegetation,cached_full_update,7.047,438,100514,5.815,0.006,1.151,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.437,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.129,0.031,17.655,0.386,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.273,0.772,16.451,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8,614,84177,true,60,1,0.425,0.008,0,season_refresh,stage_10_atlas_queue,cursor_0,stage,0.027,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.187,0.772,0.657,3.313,0,0.062,5,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,vegetation,cached_full_update,7.047,438,100514,5.815,0.006,1.151,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,36.437,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.129,0.031,17.655,0.386,2400,2400,0,5,0,0,dirty_mask,cpp,,1696,17.273,0.772,16.451,0,1696,2400,0,4,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9,615,84269,true,60,56,55.509,0.015,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,35.26,49.266,56.034,0,,,,,,,,,,,,,,,,,,,0.204,0.819,0.742,3.611,0,0.074,5,2400,false,done,1,1,1,full,0.3449,0.1124,0.205,0.0275,0,0.1124,0.1124,0.205,0.002,0.001,0.001,0,0,0,0,0,0.0243,0,0,0,1.203,12,false,true,false,0,0,0,0.335,0.194,0,0.003,0.01,0.566,0.024,biome,cached_full_update,13.972,1202,276544,12.585,0.005,1.348,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,35.165,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,512,800,2400,18.129,0.031,17.655,0.386,2400,2400,0,5,0,0,dirty_mask,cpp,,2400,25.111,0.772,23.893,0.371,2400,2400,0,6,0,0,dirty_plus_decay,cpp,,2400,27.18,3.286,23.461,0.351,2400,0,5,0,0,0,0.021,0.013,0,0.005,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
