tick_idx,climate_pass_stage,climate_pass_path,climate_pass_status
2316,ocean_water,native_chunk,done
2317,ocean_land,native_chunk,running
2318,ocean_land,native_chunk,running
2319,ocean_land,native_chunk,done
2320,wind_air,gdext,done
2321,wind_surface,gdext,done
2322,transp,gdext,done
2323,pass_a,data_core,done
2324,pass_b,data_core,done
2325,ocean_water,native_chunk,running
2326,ocean_water,native_chunk,running
2327,ocean_water,native_chunk,done
2328,ocean_land,native_chunk,running
2329,ocean_land,native_chunk,running
2330,ocean_land,native_chunk,done
2331,wind_air,gdext,done
2332,wind_surface,gdext,done
2333,transp,gdext,done
2334,pass_a,data_core,done
2335,pass_b,data_core,done
2336,ocean_water,native_chunk,running
2337,ocean_water,native_chunk,running
2338,ocean_water,native_chunk,done
2339,ocean_land,native_chunk,running
2340,ocean_land,native_chunk,running
2341,ocean_land,native_chunk,done
2342,wind_air,gdext,done
2343,wind_surface,gdext,done
2344,transp,gdext,done
2345,pass_a,data_core,done
2346,pass_b,data_core,done
2347,ocean_water,native_chunk,running
2348,ocean_water,native_chunk,running
2349,ocean_water,native_chunk,done
2350,ocean_land,native_chunk,running
2351,ocean_land,native_chunk,running
2352,ocean_land,native_chunk,done
2353,wind_air,gdext,done
2354,wind_surface,gdext,done
2355,transp,gdext,done
2356,pass_a,data_core,done
2357,pass_b,data_core,done
2358,ocean_water,native_chunk,running
2359,ocean_water,native_chunk,running
2360,ocean_water,native_chunk,done
2361,ocean_land,native_chunk,running
2362,ocean_land,native_chunk,running
2363,ocean_land,native_chunk,done
2364,wind_air,gdext,done
2365,wind_surface,gdext,done
2366,transp,gdext,done
2367,pass_a,data_core,done
2368,pass_b,data_core,done
2369,ocean_water,native_chunk,running
2370,ocean_water,native_chunk,running
2371,ocean_water,native_chunk,done
2372,ocean_land,native_chunk,running
2373,ocean_land,native_chunk,running
2374,ocean_land,native_chunk,done
2375,wind_air,gdext,done
2376,wind_surface,gdext,done
2377,transp,gdext,done
2378,pass_a,data_core,done
2379,pass_b,data_core,done
2380,ocean_water,native_chunk,running
2381,ocean_water,native_chunk,running
2382,ocean_water,native_chunk,done
2383,ocean_land,native_chunk,running
2384,ocean_land,native_chunk,running
2385,ocean_land,native_chunk,done
2386,wind_air,gdext,done
2387,wind_surface,gdext,done
2388,transp,gdext,done
2389,pass_a,data_core,done
2390,pass_b,data_core,done
2391,ocean_water,native_chunk,running
2392,ocean_water,native_chunk,running
2393,ocean_water,native_chunk,done
2394,ocean_land,native_chunk,running
2395,ocean_land,native_chunk,running
2396,ocean_land,native_chunk,done
2397,wind_air,gdext,done
2398,wind_surface,gdext,done
2399,transp,gdext,done
2400,pass_a,data_core,done
2401,pass_b,data_core,done
2402,ocean_water,native_chunk,running
2403,ocean_water,native_chunk,running
2404,ocean_water,native_chunk,done
2405,ocean_land,native_chunk,running
2406,ocean_land,native_chunk,running
2407,ocean_land,native_chunk,done
2408,wind_air,gdext,done
2409,wind_surface,gdext,done
2410,transp,gdext,done
2411,pass_a,data_core,done
2412,pass_b,data_core,done
2413,ocean_water,native_chunk,running
2414,ocean_water,native_chunk,running
2415,ocean_water,native_chunk,done
2416,ocean_land,native_chunk,running
2417,ocean_land,native_chunk,running
2418,ocean_land,native_chunk,done
2419,wind_air,gdext,done
2420,wind_surface,gdext,done
2421,transp,gdext,done
2422,pass_a,data_core,done
2423,pass_b,data_core,done
2424,ocean_water,native_chunk,running
2425,ocean_water,native_chunk,running
2426,ocean_water,native_chunk,done
2427,ocean_land,native_chunk,running
2428,ocean_land,native_chunk,running
2429,ocean_land,native_chunk,done
2430,wind_air,gdext,done
2431,wind_surface,gdext,done
2432,transp,gdext,done
2433,pass_a,data_core,done
