epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16
11,13,13,false,trade_planning,65535,13,13,4969,2400,120,261,9234,0,242079,0,573129,401,246,181763644,1741840175,287495,785626835,1366,785626835,14501194886,6785,29600000,337000,17000,320000,13600000,16000000,0,0,0,14382500,0,422410,17381290,-16958880,0,97300422770,14471623154,14471623154,35053,13900060499,14471588101,2487964282,178657800,3770028,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,12288,12985,0,2683,4,0,0,initial_topology_capture,2683,7380,0,26578,0,272,144,43,0,0,0,0,32,0,0,0,0,0,14,0,2,0,633901940736,0,0,0,0,11000,38,36,24,12,10,38,0,384,1,470,4,21564728,271466918,270979972,486946,913911068,12,0,0,0,0,0,0,0,0,0,0,0,27799231014,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,524936796466,101274727462,96210677833,621147474299,762600372,0,15038,14471588101,2377227,62259
12,14,14,false,trade_planning,65535,14,14,4971,2400,120,261,9234,0,234634,0,594331,288,251,178518355,1716996228,269534,748643246,1372,748643246,13957285051,6760,25400000,238000,18000,220000,14400000,11000000,0,0,0,12050000,0,414685,12313503,-11898818,0,93325597303,13931913150,13931913150,34859,13332228298,13931878291,2575214106,175397037,3778727,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,12997,0,0,5,0,0,initial_topology_capture,0,0,0,31080,0,344,180,55,0,0,0,0,32,0,0,0,0,0,21,12,5,0,633809666048,141227387,0,0,0,12500,37,33,19,11,12,37,0,356,0,471,7,19445359,266619560,266116322,503238,896977794,13,13,0,0,0,0,0,0,0,0,0,0,26663441756,0,0,0,0,0,0,0,0,0,0,0,1115,2,39,0,24,0,526953397911,96473818660,91649829191,618603227102,734159431,1956237,19517,13933834528,2478457,62259
13,15,15,false,trade_planning,65535,15,15,4973,2400,120,261,9235,0,218664,0,542887,274,228,165594428,1589700917,270604,697851311,1286,697851311,13011927269,6562,30600000,432000,12000,420000,9600000,21000000,0,0,0,15345000,0,458073,12223656,-11765583,0,87309426166,12981354503,12981354503,33796,12472775256,12981320707,2394938413,162739293,3534722,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,4096,12997,0,926,5,0,0,initial_topology_capture,926,2427,0,31080,0,344,180,55,0,0,0,0,32,0,0,0,0,0,18,0,3,0,633792888832,0,0,0,0,13750,38,33,16,9,5,38,0,326,0,427,7,19603256,247370647,246868537,502110,836600382,14,0,0,0,0,0,0,0,0,0,0,0,24943131994,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,0,0,528813943415,92049669207,87446900797,616260844212,684080222,0,107589,12981320707,2669709,62259
14,16,16,false,trade_planning,65535,16,16,4893,2400,120,261,9235,0,186216,0,542241,310,308,92164067,1026032726,1023317,650936636,985,650936636,7659557526,5334,36000000,420000,20000,400000,16000000,20000000,0,0,0,17550000,0,498817,8876038,-8377221,288,85666241393,7623578940,7623578940,26748,12238034586,7623552192,1689574335,92259020,205790,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,8192,12997,0,1788,5,0,0,initial_topology_capture,1788,4897,0,31080,0,344,180,55,0,0,0,0,32,0,0,0,0,0,14,0,4,0,633776111616,0,0,0,0,13500,39,36,10,9,3,39,0,317,0,421,1,22922797,138619804,138203621,416183,456952941,15,0,0,0,0,0,0,0,0,0,0,0,24473867559,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,534232131492,84509858798,80284103856,614516235348,401853283,0,66731,7623552192,4592535,62259
15,17,17,false,trade_planning,65535,17,17,4825,2400,120,261,9236,0,206696,0,586435,338,343,100054300,1122232963,1169888,723631876,995,723631876,8421758323,4989,34600000,437000,17000,420000,13600000,21000000,0,0,0,17057500,0,508392,11408399,-10900007,279,93968999446,8387178496,8387178496,25162,13424142873,8387153334,1755130078,100135484,259498,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,12288,12997,0,2732,5,0,0,initial_topology_capture,2732,7298,0,31080,0,344,180,55,0,0,0,0,32,0,0,0,0,0,11,0,3,0,633868386304,0,0,0,0,15250,36,32,10,8,10,36,0,316,0,435,2,19847290,150492192,150033517,458675,498864880,16,0,1461,1461,2,0,0,0,1459,0,0,0,26847620671,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,540257586669,76127546406,72320932600,612578519269,442030732,0,3965,8387153334,4221494,62259
16,18,18,false,trade_planning,65535,18,18,4755,2400,120,261,9236,0,218409,0,596846,400,353,102249205,1155751066,1290796,769815047,1055,769815047,8717382563,5383,29600000,337000,17000,320000,13600000,16000000,0,0,0,14382500,0,536070,13504971,-12968901,275,99077454443,8687804289,8687804289,27109,14153922164,8687777180,1722918917,102323694,286066,ACTIVE,true,1,7176039402626345605,7576084805226121795,ROUTE,12997,12997,0,25,5,0,0,initial_topology_capture,25,72,0,31080,0,344,180,55,0,0,0,0,32,0,0,0,0,0,10,0,1,0,634002604032,0,0,0,0,17000,41,37,14,12,8,41,0,327,0,491,5,22879899,153804043,153321243,482800,514223937,17,0,2990,2990,2,0,0,0,2988,0,0,0,28305679588,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,546769855576,67190232178,63830511303,610600366879,457919006,0,12780,8687777180,4124542,62259
17,19,19,false,trade_planning,65535,19,19,4676,2400,120,261,9238,0,208422,0,620609,399,333,105491348,1165320209,1110461,727410804,1050,727410804,8632730843,5462,25400000,238000,18000,220000,14400000,11000000,0,0,0,12050000,0,507881,8866176,-8358295,280,95090874949,8607352816,8607352816,27435,13584410809,8607325381,1915355215,105580421,219182,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,13578,0,0,6,0,0,initial_topology_capture,0,0,0,41714,0,448,230,79,18,6,12,0,42,0,0,0,0,0,29,24,5,0,634090684416,117458984,0,0,0,18250,44,38,19,16,5,44,0,368,0,519,7,23427686,158657074,158198805,458269,519086187,18,18,4513,4514,5,0,1,0,4507,0,0,0,27168076206,0,0,0,0,0,0,0,0,0,0,0,1075,2,33,0,25,0,552813082064,58754926132,55816996209,608630078273,453680827,629811,36861,8607955192,4208799,62259
18,20,20,false,trade_planning,65535,20,20,4600,2400,120,261,9239,0,194076,0,567469,314,320,96563447,1073830456,998600,678815944,964,678815944,8001821633,4936,30600000,432000,12000,420000,9600000,21000000,0,0,0,15345000,0,553356,9061598,-8508242,278,88934353424,7971241575,7971241575,24878,12704907729,7971216697,1759231011,96658870,214670,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,4096,13578,0,907,6,0,0,initial_topology_capture,907,2263,0,41714,0,448,230,79,18,6,12,0,42,0,0,0,0,0,25,0,4,0,634195542016,0,0,0,0,19000,49,47,15,7,8,49,0,367,0,485,1,29410632,145243036,144808081,434955,478756164,19,0,6073,6074,6,0,1,0,6066,0,0,0,25408104163,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,0,0,558447012165,50921040992,48374829142,606821841307,420148753,0,1766434,7971216697,4591317,62259
19,21,21,false,trade_planning,65535,21,21,4683,2400,120,261,9239,0,198463,0,530058,266,202,152082383,1250851390,613783,701736335,1110,701736335,13219201541,8422,36000000,420000,20000,400000,16000000,20000000,0,0,0,17550000,0,539238,19616178,-19076940,538,90397699751,13183235435,13183235435,42316,12913957209,13183193119,3284028912,152066618,539507,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,0,12519,0,0,7,0,0,initial_topology_capture,0,0,0,53935,0,552,286,93,18,6,12,0,50,0,0,0,0,0,39,14,0,0,634174570496,5473493,0,0,0,12500,33,32,20,15,1,33,0,309,2,506,0,22064930,228671427,228056140,615287,807063284,20,20,7486,7523,185,0,0,0,7301,0,0,0,25828843532,5832513,0,0,0,0,0,288,141,0,59,0,1580,8,50,0,42,0,558732356732,48832122131,46390362616,605122719348,694497199,124121,0,13183317240,2777531,62259
20,22,22,false,trade_planning,65535,22,22,4751,2400,120,261,9239,0,218628,0,574585,282,200,168320122,1367057980,721405,769398933,1124,769398933,14279271710,8399,34600000,437000,17000,420000,13600000,21000000,0,0,0,17057500,0,553785,20999235,-20445450,535,99245915273,14244705521,14244705521,42210,14177987997,14244663311,3412028877,167767798,1141432,ACTIVE,true,1,7176039402626345605,7576084805226121795,SCAN,8192,12519,0,2005,7,0,0,initial_topology_capture,2005,4910,0,53935,0,552,286,93,18,6,12,0,50,0,0,0,0,0,31,0,8,0,634161987584,0,0,0,0,17500,42,39,20,16,5,42,0,321,0,523,0,28422779,252754457,252143599,610858,886389454,21,0,7475,7536,185,0,0,0,7290,0,0,0,28353988179,5256489,0,0,0,0,0,279,131,0,56,0,0,10,35,0,0,0,559090414460,46499244849,44174136353,603264550813,750356406,0,156604,14244663311,2572229,62259
