epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures
11,13,13,false,trade_planning,65535,13,13,4210,2400,120,261,7824,0,197580,0,480950,327,209,149666395,1433736414,233127,635868477,1053,635868477,12374808093,5389,797600,10372,372,10000,297600,500000,0,0,0,5600000,0,329987,13480867,-13150880,0,77003776901,12374034208,12374034208,29104,11000539647,12374005104,2073834884,147014925,3222581,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11380,0,0,5,0,0,initial_topology_capture,0,0,0,25071,0,329,200,57,0,0,0,0,9,0,0,0,0,0,29,18,1,0,566776299520,68568279,0,0,0,6750,27,27,10,8,7,27,0,334,0,275,0,15988276,223520308,223102048,418260,752084186,12,12,0,0,0,0,0,0,0,0,0,0,22000646384,0,0,0,0,0,0,0,0,0,0,0,1083,1,34,0,38,0
12,14,14,false,trade_planning,65535,14,14,4204,2400,120,261,7825,0,222037,0,548326,256,244,168457054,1614278450,250789,707345762,1117,707345762,13849995403,5843,453850,3497,372,3125,297600,156250,0,0,0,3400000,0,377491,12632353,-12254862,0,86265488584,13849567278,13849567278,31568,12323641320,13849535710,2402847468,165642094,3463557,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,10899,0,0,6,0,0,initial_topology_capture,0,0,0,30499,0,381,232,68,0,0,0,0,17,0,0,0,0,0,33,11,7,0,566759522304,65905880,0,0,0,9250,30,30,9,6,12,30,0,337,0,281,0,17524195,251711813,251209435,502378,848208592,13,13,0,0,0,0,0,0,0,0,0,0,24645872746,0,0,0,0,0,0,0,0,0,0,0,1040,3,30,0,21,0
13,15,15,false,trade_planning,65535,15,15,4202,2400,120,261,7826,0,203326,0,502513,249,226,154600782,1480236724,233553,650430213,1073,650430213,12712348353,5460,1003450,13559,434,13125,347200,656250,0,0,0,7000000,0,304591,12551996,-12247405,0,78888007481,12711368955,12711368955,29512,11269715439,12711339443,2164763518,151933005,3279704,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,10899,0,920,6,0,0,initial_topology_capture,920,2583,0,30499,0,381,232,68,0,0,0,0,17,0,0,0,0,0,26,0,7,0,566717579264,0,0,0,0,7000,26,25,8,5,10,26,0,325,0,260,0,14733911,230899325,230473898,425427,775072824,14,0,0,0,0,0,0,0,0,0,0,0,22537781999,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0
14,16,16,false,trade_planning,65535,16,16,4147,2400,120,261,7827,0,166474,0,461219,276,269,78804250,888577622,983805,583298216,765,583298216,6996750683,4159,847200,10434,434,10000,347200,500000,0,0,0,6000000,0,375149,9565029,-9189880,242,73283790783,6995921319,6995921319,21995,10469113060,6995899324,1331103592,78859351,215174,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11425,0,0,7,0,0,initial_topology_capture,0,0,0,40556,0,443,272,82,0,0,0,0,21,0,0,0,0,0,35,14,5,0,566717579264,77512894,0,0,0,6500,19,19,12,8,4,19,0,269,0,237,0,11809469,118521387,118159921,361466,392710294,15,15,0,0,0,0,0,0,0,0,0,0,20938712162,0,0,0,0,0,0,0,0,0,0,0,557,11,24,0,26,0
15,17,17,false,trade_planning,65535,17,17,4092,2400,120,261,7828,0,174483,0,491392,293,343,83857256,937834719,977525,610670199,718,610670199,7335620436,4065,1004450,15904,279,15625,223200,781250,0,0,0,6800000,0,389946,9322593,-8932647,227,76428089805,7334633380,7334633380,21459,10918298627,7334611921,1414440477,83951946,229880,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,11425,0,811,7,0,0,initial_topology_capture,811,2472,0,40556,0,443,272,82,0,0,0,0,21,0,0,0,0,0,30,0,5,0,566755328000,0,0,0,0,6750,25,25,10,6,2,25,0,251,0,222,0,15903649,126130791,125748915,381876,416914127,16,0,1356,1356,4,0,0,0,1352,0,0,0,21835887403,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0
16,18,18,false,trade_planning,65535,18,18,4033,2400,120,261,7829,0,177028,0,501523,330,309,85533602,955821161,974018,620565789,753,620565789,7469349715,4159,797600,10372,372,10000,297600,500000,0,0,0,5600000,0,425665,9910731,-9485066,239,77970767056,7468569943,7468569943,21987,11138681094,7468547956,1462022092,85656078,238373,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11400,0,0,8,0,0,initial_topology_capture,0,0,0,48008,0,563,336,108,15,11,4,0,28,0,0,0,0,0,54,26,2,0,566809853952,94278244,0,0,0,9500,36,36,10,8,5,36,0,284,0,243,0,22305460,128661785,128267915,393870,425734851,17,17,2618,2621,154,0,0,0,2464,0,0,0,22276374558,0,0,0,0,0,0,0,0,0,0,0,1065,6,36,0,38,0
17,19,19,false,trade_planning,65535,19,19,3952,2400,120,261,7830,0,197031,0,573384,367,315,97355864,1081224141,901622,687061769,789,687061769,8406968117,4363,453850,3497,372,3125,297600,156250,0,0,0,3400000,0,485827,8676755,-8190928,287,87317803944,8406533046,8406533046,23142,12473972088,8406509904,1732113188,97477469,240370,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,10958,0,0,9,0,0,initial_topology_capture,0,0,0,57309,0,635,388,125,18,12,6,0,37,0,0,0,0,0,66,17,5,0,566855991296,49275592,0,0,0,11250,43,42,11,8,6,43,0,316,0,266,1,25348678,146435644,146000061,435583,480105739,18,18,3925,3933,323,0,0,0,3602,0,0,0,24947295634,0,0,0,0,0,0,0,0,0,0,0,999,4,30,0,35,0
18,20,20,false,trade_planning,65535,20,20,3890,2400,120,261,7830,0,181651,0,524181,293,300,89199654,992229425,1001685,633475231,766,633475231,7724121661,4308,1003450,13559,434,13125,347200,656250,0,0,0,7000000,0,402270,9050386,-8648116,252,79845300298,7723136572,7723136572,22669,11406471560,7723113903,1548763817,89254497,248369,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,10953,0,0,10,0,0,initial_topology_capture,0,0,0,67459,0,705,436,142,19,12,7,0,53,0,0,0,0,0,74,17,9,0,566902128640,84206543,0,0,0,7750,31,31,10,6,3,31,0,302,0,265,0,18893539,134164379,133751644,412735,440860648,19,19,5318,5332,502,0,0,0,4816,0,0,0,22813957988,0,0,0,0,0,0,0,0,0,0,0,532,5,28,0,31,0
19,21,21,false,trade_planning,65535,21,21,3922,2400,120,261,7830,0,175337,0,452395,222,183,134776275,1085970972,586354,619231283,886,619231283,11584517970,6363,0,0,0,0,0,0,0,0,0,0,0,384647,16878530,-16493883,483,77225259015,11584545264,11584545264,33657,11032179945,11584511607,2611460582,134631461,607911,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,10991,0,0,11,0,0,initial_topology_capture,0,0,0,73511,0,759,472,159,20,12,8,0,76,0,0,0,0,0,81,17,10,0,566797271040,132520206,0,0,0,9500,32,32,14,12,6,32,0,298,2,317,0,22512704,202454484,201954173,500311,708927767,20,20,6647,6679,678,0,0,0,5969,0,0,0,22084925135,4161500,0,0,0,0,0,242,112,0,50,0,500,8,29,0,19,0
20,22,22,false,trade_planning,65535,22,22,3949,2400,120,261,7830,0,183415,0,482433,231,258,142196058,1143651738,577050,645975655,850,645975655,11951257532,6226,0,0,0,0,0,0,0,0,0,0,0,416822,16716262,-16299440,463,80553821074,11951284194,11951284194,32888,11507688812,11951251306,2755861513,141891747,783217,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,10991,0,873,11,0,0,initial_topology_capture,873,2532,0,73511,0,759,472,159,20,12,8,0,76,0,0,0,0,0,64,0,17,0,566658859008,0,0,0,0,10000,34,34,14,13,3,34,0,267,1,288,0,23640214,213618804,213093538,525266,745397365,21,0,6633,6688,678,0,0,0,5955,0,0,0,23041967961,4125458,0,0,0,0,0,227,106,0,41,0,0,11,28,0,0,0
21,23,23,false,trade_planning,65535,23,23,3987,2400,120,261,7830,0,186800,0,491788,253,216,144379071,1167893188,687609,659240701,29036,659240701,12428740284,84338,0,0,0,0,0,0,0,0,0,0,0,475314,18122122,-17646808,478,82182204473,12431333299,12428690977,35031,11740315009,12428655946,2846678050,144082577,788661,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11453,0,0,12,0,0,initial_topology_capture,0,0,0,81015,0,827,512,176,28,18,10,0,92,0,0,0,0,0,70,17,11,0,566516252672,52508877,0,0,0,7750,27,27,13,13,5,27,0,259,0,279,0,18921951,216892701,216349909,542792,760606096,22,21,6621,6696,678,0,0,0,5943,0,0,0,23503344437,4460807,0,0,0,0,0,239,112,0,45,0,537,15,34,0,23,0
22,24,24,false,trade_planning,65535,24,24,4054,2400,120,261,7831,0,210035,0,560457,281,204,161964944,1327440784,599885,738158885,32665,738158885,14582472801,87874,0,0,0,0,0,0,0,0,0,0,0,551464,20169918,-19618454,534,91973477923,14584096530,14582425276,40349,13139068358,14582384927,3371002677,161505172,1104420,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,10989,0,0,13,0,0,initial_topology_capture,0,0,0,90423,0,909,548,188,53,36,17,0,92,0,0,0,0,0,68,12,14,0,566440755200,11829766,0,0,0,10500,30,30,16,13,4,30,0,250,0,281,0,22725393,243306730,242670814,635916,854587127,23,22,6602,6700,676,0,0,0,5926,0,0,0,26291277638,5864614,0,0,0,0,0,287,147,0,61,0,996,15,37,0,24,0
23,25,25,false,trade_planning,65535,25,25,4093,2400,120,261,7831,0,191802,0,514089,251,192,148976588,1209386630,543597,674816943,926,674816943,12855574231,6805,0,0,0,0,0,0,0,0,0,0,0,453163,17875823,-17422660,501,84089805713,12855603375,12855603375,35949,12012829470,12855567426,3006112477,148851720,621461,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,4096,10989,0,898,13,0,0,initial_topology_capture,898,2493,0,90423,0,909,548,188,53,36,17,0,92,0,0,0,0,0,50,0,18,0,566239428608,0,0,0,0,7500,28,28,12,12,8,28,0,261,0,264,0,18502010,223871108,223293079,578029,781475403,24,0,6593,6707,677,0,0,0,5916,0,0,0,24053567191,4805730,0,0,0,0,0,252,115,0,43,0,0,9,21,0,0,0
24,26,26,false,trade_planning,65535,26,26,4071,2400,120,261,7832,0,161124,0,466606,264,266,90739952,2218107927,523391,533173459,978,533173459,16235109412,7634,27200000,334000,14000,320000,11200000,16000000,0,0,0,13355000,0,445992,11047272,-10601280,547,77072068398,16207941327,16207941327,39549,11010295580,16207901778,2066561268,87417458,3725777,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,8192,10989,0,1838,13,0,0,initial_topology_capture,1838,5003,0,90423,0,909,548,188,53,36,17,0,92,0,0,0,0,0,37,0,13,0,566214262784,0,0,0,0,5500,20,20,11,11,5,20,0,280,0,257,0,14152640,134785232,134387936,397296,562388813,25,0,6588,6710,677,0,0,0,5911,0,0,0,22017929640,4161,0,0,0,0,0,421,280,60,47,0,0,5,8,0,0,0
25,27,27,false,trade_planning,65535,27,27,4052,2400,120,261,7832,0,170137,0,495696,281,296,96901670,2343855103,584212,560117919,921,560117919,17072335073,7143,32200000,509000,9000,500000,7200000,25000000,0,0,0,16457500,0,489500,10320850,-9831350,527,80551100706,17040164977,17040164977,37047,11507300184,17040127930,2203183755,92934180,4251085,ACTIVE,true,1,6240996509031603467,9029272644701376523,SCAN,0,11981,0,0,14,0,0,initial_topology_capture,0,0,0,95497,0,1005,592,209,69,45,24,0,111,0,0,0,0,0,40,21,18,0,566193291264,145040003,0,0,0,6250,25,25,11,11,3,25,0,262,1,251,0,16895108,143721836,143330584,391252,596606226,26,26,6577,6711,4,3,0,0,6570,0,0,0,23008334859,3031,0,0,0,0,0,398,260,62,35,0,532,2,17,0,23,0
