720,0.307692,0.791534,1,0.678633,0.645587,-0.007896
721,0.307692,0.791534,1,0.624171,0.62756,-0.007896
722,0.307692,0.791534,1,0.543536,0.608036,-0.007896
723,0.307692,0.791534,0,0.174769,0.295682,-0.007896
724,0.307692,0.791534,0,0.025176,0.188294,-0.007896
725,0.307692,0.791534,0,0,0.2106,-0.007896
726,0.307692,0.791534,0,0.26499,0.300023,-0.007896
727,0.307692,0.791534,0,0.284234,0.31778,-0.007896
728,0.307692,0.791534,0,0.29518,0.326423,-0.007896
729,0.307692,0.791534,0,0.244259,0.281392,-0.007896
730,0.307692,0.791534,1,0,0.156803,-0.007896
731,0.307692,0.791534,0,0.037997,0.200825,-0.007896
732,0.307692,0.791534,0,0.052485,0.213973,-0.007896
733,0.307692,0.791534,1,0.099845,0.107741,-0.007896
734,0.307692,0.791534,0,0.118745,0.267474,-0.007896
