epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16
1,3,3,false,trade_planning,65535,3,3,4066,2400,120,261,8201,0,526034,0,32191,197,86,503740333,12190616191,93345,1727858824,1025,1727858824,83923758764,4376,3390598000,30656990,2476998,28179992,1981598400,1408999600,0,0,0,1602188609,0,49158353,65615906,-16457553,0,313036977100,80533178314,80533178314,21926,44719568236,80533156388,14165005379,470820949,1148836601,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,0,7197,0,0,1,0,0,initial_topology_capture,0,0,0,4196,0,40,28,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,407841538048,9185521,0,0,0,55750,83,81,99,66,70,83,0,471,1,0,5,64788613,1616383979,738582392,877801587,14154505775,2,2,0,0,0,0,0,0,0,0,0,0,86374378103,0,0,0,0,0,0,0,0,0,0,0,482,1583,5,0,19,0,1517459860617,194260326681,184546713497,1702006574114,4251387639,52436,0,80533208824,1234872,62259
2,4,4,false,trade_planning,65535,4,4,4051,2400,120,261,8225,0,440190,0,30910,147,69,430771111,10132836464,72119,1428855952,903,1428855952,71866259321,3959,4540000000,56300000,2300000,54000000,1840000000,2700000000,0,0,0,2232252345,0,49951116,59816328,-9865212,0,266626348340,67326275224,67326275224,19862,38089478409,67326255362,12194013290,398869154,964996246,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,4096,7197,0,757,1,0,0,initial_topology_capture,757,2200,0,4196,0,40,28,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,524006981632,0,0,0,0,49250,66,63,68,42,77,66,0,361,6,0,11,55304021,1361109792,628177573,732932219,12190113475,3,0,0,0,0,0,0,0,0,0,0,0,73483237596,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,1485228540529,238639658836,226706943882,1711935484411,3554094453,0,0,67326255362,1445735,62259
3,5,5,false,trade_planning,65535,5,5,4045,2400,120,261,8264,0,476779,0,30714,152,75,459416305,11135512391,66027,1561971791,915,1561971791,76727005177,3978,3614397250,43517990,1917997,41599993,1534397600,2079999650,0,0,0,1769716162,0,49158364,59086582,-9928218,0,284509586572,73112623888,73112623888,19939,40644226723,73112603949,12916183416,426961811,1032924189,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,0,11044,0,0,2,0,0,initial_topology_capture,0,0,0,10655,0,124,72,19,0,0,0,0,0,0,0,0,0,0,15,10,4,0,644043767808,12420378,0,0,0,48750,73,72,73,57,61,73,0,444,3,0,6,56098788,1457144301,671618375,785525926,12912358775,4,4,0,0,0,0,0,0,0,0,0,0,78506292939,0,0,0,0,0,0,0,0,0,0,0,1043,1445,8,0,34,0,1448111649518,287833968369,273441388084,1721553037602,3859708023,70246,26124,73112674195,1298043,62259
4,6,6,false,trade_planning,65535,6,6,4049,2400,120,261,8296,0,476205,0,30939,168,143,183696227,4775431476,67,1567392534,990,1567392534,39225708981,2423,3474397950,50842974,1242999,49599975,994399200,2479998750,0,0,0,1752528877,0,44711427,50593836,-5882409,0,239477479086,35751321438,35751321438,12830,34211068530,35751308608,3537093587,180752944,15238313,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,4096,11044,0,836,2,0,0,initial_topology_capture,836,2383,0,10655,0,124,72,19,0,0,0,0,0,0,0,0,0,0,11,0,4,0,643418816512,0,0,0,0,123750,70,68,81,39,44,70,0,390,0,0,3,48238889,273948908,264963969,8984939,2234601262,5,0,0,0,0,0,0,0,0,0,0,0,68623377967,0,0,0,0,0,0,0,0,0,0,0,0,13,266,0,0,0,1436432342708,355944116624,338145821021,1774578163729,1884354291,0,29973,35751308608,2633135,62259
5,7,7,false,trade_planning,65535,7,7,4059,2400,120,261,8318,0,572849,0,40313,206,183,219124055,5756722787,104,1879072930,1115,1879072930,48586551927,2805,5815098150,78546993,2516998,76029995,2013598400,3801499750,0,0,0,2895877620,0,55526610,60717303,-5190693,0,288623211227,42771465857,42771465857,14885,41231887413,42771450972,4264849906,216026487,18339314,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,8192,11044,0,1652,2,0,0,initial_topology_capture,1652,4773,0,10655,0,124,72,19,0,0,0,0,0,0,0,0,0,0,9,0,2,0,642894528512,0,0,0,0,137500,58,57,100,61,47,58,0,355,0,0,11,39980490,327251413,316479085,10772328,2716598949,6,0,0,0,0,0,0,0,0,0,0,0,82646400521,0,0,0,0,0,0,0,0,0,0,0,0,9,310,0,0,0,1423617943376,413278648959,392613451671,1816231395047,2254419858,0,16162,42771450972,2181320,62259
6,8,8,false,trade_planning,65535,8,8,4063,2400,120,261,8351,0,526301,0,31934,179,169,202555075,5212249803,195,1733382642,1097,1733382642,42538229527,2748,3195394050,29137941,2317996,26819945,1854396800,1340997250,0,0,0,1511350032,0,49728592,52147317,-2418725,0,265786928628,39342847350,39342847350,14621,37969561330,39342832729,3866058560,198243046,17236004,ACTIVE,true,1,3164270336146530043,2409568139129639187,ROUTE,11044,11044,0,21,2,0,0,initial_topology_capture,21,76,0,10655,0,124,72,19,0,0,0,0,0,0,0,0,0,0,6,0,3,0,642437349376,0,0,0,0,112500,62,58,128,75,50,62,0,398,0,0,25,37957832,301555490,292325063,9230427,2411276543,7,0,0,0,0,0,0,0,0,0,0,0,76105650862,0,0,0,0,0,0,0,0,0,0,0,0,7,290,0,0,0,1410784120754,474295047215,450578843726,1861362964480,2073658455,0,17459,39342832729,2350037,62259
7,9,9,false,trade_planning,65535,9,9,4069,2400,120,261,8373,0,440210,0,30908,155,137,168554371,4377133160,51,1432695127,950,1432695127,37700890326,2397,4520499250,55909985,2300000,53609985,1840000000,2680499250,0,0,0,2221819645,0,50200406,49903823,296583,0,228407077679,33180401367,33180401367,12688,32629582606,33180388679,3466761823,168046971,14036666,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,0,11663,0,0,3,0,0,initial_topology_capture,0,0,0,17012,0,212,124,27,0,0,0,0,0,0,0,0,0,0,13,8,1,0,641959198720,1837101,0,0,0,125500,55,52,106,58,48,55,0,354,0,0,4,36745536,254329342,244753647,9575695,2221467724,8,7,0,0,0,0,0,0,0,0,0,0,65425407556,0,0,0,0,0,0,0,0,0,0,0,912,9,262,0,44,0,1401391834458,548390416254,520969218119,1922361052577,1748854690,22943,5734,33180411622,2767946,62259
8,10,10,false,trade_planning,65535,10,10,4070,2400,120,261,8399,0,476809,0,30694,158,148,181526156,4784834906,75,1565514730,980,1565514730,39331988127,2508,3584497350,43114947,1905000,41209947,1524000000,2060497350,0,0,0,1754831171,0,49444478,48776188,668290,0,241672351611,35747501538,35747501538,13269,34524621740,35747488269,3596384999,179395906,15317466,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,4096,11663,0,904,3,0,0,initial_topology_capture,904,2171,0,17012,0,212,124,27,0,0,0,0,0,0,0,0,0,0,6,0,7,0,641502019584,0,0,0,0,117500,59,55,105,58,52,59,0,346,0,0,13,38754244,271939793,262729986,9209807,2270363690,9,0,0,0,0,0,0,0,0,0,0,0,69227081193,0,0,0,0,0,0,0,0,0,0,0,0,5,266,0,0,0,1389996926888,598820386269,568877535670,1958874462558,1884241093,0,22333,35747488269,2548286,62259
9,11,11,false,trade_planning,65535,11,11,4080,2400,120,261,8409,0,476246,0,30899,168,167,327903514,2670699572,229350596,1567521884,1227344,1567521884,100462267719,470725378,3474898450,50852984,1242999,49609985,994399200,2480499250,0,0,0,1752796502,0,37718916,42036486,-4317570,0,229985458433,146700983215,96517118002,474111,32855065573,96516643891,4423043680,320297647,8357637,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,0,10918,0,0,4,0,0,initial_topology_capture,0,0,0,25986,0,292,168,35,0,0,0,0,8,0,0,0,0,0,9,8,5,0,641535574016,6215562,0,0,0,94750,62,61,95,65,22,62,0,432,1,0,13,36646244,488647373,488568936,78437,1897619170,10,10,0,0,0,0,0,0,0,0,0,0,65703552438,0,0,0,0,0,0,0,0,0,0,0,1248,7,27,0,36,0,1389833842734,611415235150,580842603669,1970676446403,5081375438,110725,22106,96516754616,943713,62259
10,12,12,false,trade_planning,65535,12,12,4117,2400,120,261,8420,0,572875,0,40403,313,197,397135444,3341494888,181301306,1879020064,483585,1879020064,128390635979,352676172,5813498150,78544993,2514998,76029995,2011998400,3801499750,0,0,0,2895192620,0,47957794,51259183,-3301389,0,278042083182,146482264559,122225008984,547327,39720297691,122224461657,5579590285,370429963,62729126,ACTIVE,true,1,3164270336146530043,2409568139129639187,SCAN,4096,10918,0,1062,4,0,0,initial_topology_capture,1062,2285,0,25986,0,292,168,35,0,0,0,0,8,0,0,0,0,0,6,0,3,0,641493630976,0,0,0,0,169250,83,80,95,55,43,83,0,403,0,0,9,50597145,618353981,591973791,26380190,2615019107,11,0,0,0,0,0,0,0,0,0,0,0,79442804426,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,1379572789830,634981375076,603230364715,1982803154545,6434889093,0,74525,122224461657,739718,62259
