day,phase,work,ms
11,building_plan,0,0.109500
11,trade_settle,0,0.000500
11,ledger_apply,0,0.000300
11,employment,0,0.640800
11,production,0,0.680700
11,household,0,0.698400
11,research,0,0.001000
11,trade_dispatch,0,0.005000
11,structural,0,0.046100
11,building_commit,0,0.028000
11,family,0,0.146200
11,person,0,0.019200
11,native_hash,321600,1.491400
11,aggregate,0,4.014400
11,domain_projection,0,0.216300
11,ledger_validate,321600,0.157100
11,ledger_hash,321600,1.335200
11,ledger_export,321600,2.165000
11,pod_hash,321600,1.104100
12,building_plan,0,0.108100
12,trade_settle,0,0.000400
12,ledger_apply,0,0.000400
12,employment,0,0.219700
12,production,0,0.323000
12,household,0,0.529700
12,research,0,0.001000
12,trade_dispatch,0,0.004800
12,structural,0,0.000300
12,building_commit,0,0.249400
12,family,0,0.206000
12,person,0,0.017200
12,native_hash,321600,1.284800
12,aggregate,0,1.882000
12,domain_projection,0,0.280200
12,ledger_validate,321600,0.141600
12,ledger_hash,321600,1.199400
12,ledger_export,321600,1.929100
12,pod_hash,321600,0.995000
13,building_plan,0,0.088000
13,trade_settle,0,0.000600
13,ledger_apply,0,0.000400
13,employment,0,0.282500
13,production,0,0.335400
13,household,0,0.523200
13,research,0,0.000900
13,trade_dispatch,0,0.004300
13,structural,0,0.041800
13,building_commit,0,0.157500
13,family,0,0.145500
13,person,0,0.018300
13,native_hash,321600,1.406400
13,aggregate,0,2.045400
13,domain_projection,0,0.230200
13,ledger_validate,321600,0.143900
13,ledger_hash,321600,1.393400
13,ledger_export,321600,2.074400
13,pod_hash,321600,0.978500
14,building_plan,0,0.106500
14,trade_settle,0,0.000600
14,ledger_apply,0,0.000500
14,employment,0,0.391200
14,production,0,0.489900
14,household,0,0.513800
14,research,0,0.000800
14,trade_dispatch,0,0.004500
14,structural,0,0.068900
14,building_commit,0,0.023100
14,family,0,0.128100
14,person,0,0.016500
14,native_hash,321600,1.311000
14,aggregate,0,1.890300
14,domain_projection,0,0.215900
14,ledger_validate,321600,0.138800
14,ledger_hash,321600,1.146000
14,ledger_export,321600,1.741800
14,pod_hash,321600,1.312800
15,building_plan,0,0.213900
15,trade_settle,0,0.000300
15,ledger_apply,0,0.000300
15,employment,0,0.288700
15,production,0,0.379200
15,household,0,0.725300
15,research,0,0.001000
15,trade_dispatch,0,0.005100
15,structural,0,0.071400
15,building_commit,0,0.024300
15,family,0,0.135500
15,person,0,0.018400
15,native_hash,321600,1.297000
15,aggregate,0,1.918800
15,domain_projection,0,0.201400
15,ledger_validate,321600,0.131200
15,ledger_hash,321600,1.097200
15,ledger_export,321600,1.641500
15,pod_hash,321600,0.966800
16,building_plan,0,0.124500
16,trade_settle,0,0.000700
16,ledger_apply,0,0.000500
16,employment,0,0.303300
16,production,0,0.363800
16,household,0,1.039300
16,research,0,0.001400
16,trade_dispatch,0,0.006000
16,structural,0,0.074100
16,building_commit,0,0.027000
16,family,0,0.204300
16,person,0,0.021700
16,native_hash,321600,1.491300
16,aggregate,0,2.966600
16,domain_projection,0,0.221500
16,ledger_validate,321600,0.145400
16,ledger_hash,321600,1.265200
16,ledger_export,321600,2.221100
16,pod_hash,321600,1.354300
17,building_plan,0,0.117900
17,trade_settle,0,0.000400
17,ledger_apply,0,0.000400
17,employment,0,0.248000
17,production,0,0.353800
17,household,0,0.859900
17,research,0,0.001000
17,trade_dispatch,0,0.005000
17,structural,0,0.073700
17,building_commit,0,0.155600
17,family,0,0.162200
17,person,0,0.023500
17,native_hash,321600,1.422000
17,aggregate,0,2.164100
17,domain_projection,0,0.210500
17,ledger_validate,321600,0.138700
17,ledger_hash,321600,1.188600
17,ledger_export,321600,1.805900
17,pod_hash,321600,1.014700
18,building_plan,0,0.087500
18,trade_settle,0,0.000500
18,ledger_apply,0,0.000300
18,employment,0,0.269800
18,production,0,0.353800
18,household,0,0.593300
18,research,0,0.000900
18,trade_dispatch,0,0.004300
18,structural,0,0.096900
18,building_commit,0,0.032900
18,family,0,0.136000
18,person,0,0.020000
18,native_hash,321600,1.465600
18,aggregate,0,2.348300
18,domain_projection,0,0.236900
18,ledger_validate,321600,0.144600
18,ledger_hash,321600,1.204300
18,ledger_export,321600,1.853500
18,pod_hash,321600,1.102000
19,building_plan,0,0.076200
19,trade_settle,0,0.000500
19,ledger_apply,0,0.000300
19,employment,0,0.266800
19,production,0,0.396500
19,household,0,0.696800
19,research,0,0.001000
19,trade_dispatch,0,0.005700
19,structural,0,0.073800
19,building_commit,0,0.157400
19,family,0,0.135400
19,person,0,0.018800
19,native_hash,321600,1.412800
19,aggregate,0,2.167300
19,domain_projection,0,0.218000
19,ledger_validate,321600,0.194500
19,ledger_hash,321600,1.610300
19,ledger_export,321600,2.358700
19,pod_hash,321600,1.724900
20,building_plan,0,0.085400
20,trade_settle,0,0.000600
20,ledger_apply,0,0.000400
20,employment,0,0.256100
20,production,0,0.357200
20,household,0,0.582200
20,research,0,0.000900
20,trade_dispatch,0,0.004600
20,structural,0,0.000400
20,building_commit,0,0.148000
20,family,0,0.192900
20,person,0,0.018800
20,native_hash,321600,1.397500
20,aggregate,0,2.017500
20,domain_projection,0,0.216800
20,ledger_validate,321600,0.139700
20,ledger_hash,321600,1.159100
20,ledger_export,321600,1.827700
20,pod_hash,321600,1.002100
21,building_plan,0,0.048700
21,trade_settle,0,0.000600
21,ledger_apply,0,0.000400
21,employment,0,0.323100
21,production,0,0.440100
21,household,0,0.890300
21,research,0,0.001200
21,trade_dispatch,0,0.006600
21,structural,0,0.044100
