"run_index","run_name","mode","directory","run_ms","harness_writeback_window_ms","harness_writeback_consume_ms","harness_idle_wait_ms","harness_adjusted_run_ms","harness_lower_bound_run_ms","raw_days_per_second","adjusted_days_per_second","lower_bound_days_per_second","harness_writeback_poll_count","completed_days_delta","pulse_count_delta","abi_calls_delta","work_done_delta","budget_yields_delta","last_elapsed_us","post_pulse_flush_ms","worker_fault_count","main_wait_on_sim_us","active_worker_plan_ms","active_worker_replay_ms","shadow_diagnostic_plan_ms","shadow_diagnostic_replay_ms"
"1","run-01-off","OFF","D:\Godot\ProjectKeynes\Project.Keynes\artifacts\runtime\authority-stage-c\stage-c3-smoke-20260909\run-01-off","30.474","0","0","0","30.474","30.474","65.6297171359191","65.6297171359191","65.6297171359191","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","run-02-active","ACTIVE","D:\Godot\ProjectKeynes\Project.Keynes\artifacts\runtime\authority-stage-c\stage-c3-smoke-20260909\run-02-active","123.825","83.749","3.105","80.575","43.25","40.076","16.1518271754492","46.242774566474","49.9051801577004","31","1","0","0","0","0","0","0","0","0","0","0","0","0"
